Aula;Atividade;Link
Bonus;Escolhe cor;https://studio.code.org/projects/applab/8sZZhEKsipJ4DtWaymWYGRf5KlxPlNJtvvmysA5Ia7w/
Bonus;getNumber x getText;https://studio.code.org/projects/applab/yDfkJ_ooG_XgRMqyF4EUtVWxigNBe86zEXO-VM7euYg/
C-10;Alien (Versão Antiga);https://studio.code.org/projects/gamelab/VaI9pCRhklgqYldvI4yh7CaFSc_513oC6LrUPk6iXhY/
C-10;Exoplaneta;https://studio.code.org/projects/gamelab/2aIsgP6tH9xwCyYebtar6th47jzIDVxkjNv6ESRFAls/
C-10;Template Exoplanetas;https://studio.code.org/projects/gamelab/2aIsgP6tH9xwCyYebtar6uQ4IRScFQmKR0y60fW6wQs/
C-11;Multiplicação;https://studio.code.org/projects/playlab/UfZGzAvVbDSgDZbuxcPoWPd4KKLofUJJfiKxqY0Gqb8/
C-11;Senha;https://studio.code.org/projects/playlab/UfZGzAvVbDSgDZbuxcPoWPhpjJzdrSB9x_g23pSEy5A/
C-12, C13;Almondegas (versão modificada);https://studio.code.org/projects/gamelab/vvOCrY_eLUCOD3gT6U6zyutAHOekTx_FqP1wbBBgBgI/
C-12, C13;Jogo Espacial;https://studio.code.org/projects/gamelab/5GhCfj4E1jPdZA9IjXP9XZNtjGETEjlTdOeJjm-MS2U/
C-12, C13;Template Jogo Espacial;https://studio.code.org/projects/gamelab/6Q0IvS0z61fGEtRcZ8a9I5-jlirmDwCewBu3Aq3oVnI/
C-15, C-16;Corrida Maluca (versão modificada);https://studio.code.org/projects/gamelab/LsHiQNv5e1Tw_lMY8sOalJ3VurVCYEzufhcOM2RpaVk/
C-15, C-16;Jogo de Corrida;https://studio.code.org/projects/gamelab/5GhCfj4E1jPdZA9IjXP9XZNtjGETEjlTdOeJjm-MS2U/
C-15, C-16;Template Jogo de Corrida;https://studio.code.org/projects/gamelab/JJ8cPjMriMfh1ogBpOk2DET_Gci1kzmFBrBY0rX1_fA/
C-18, C-19;App Jogar Estudar Com bug;https://studio.code.org/projects/applab/2svjX_MWdRffL0LB9oorIxKWSRmc-qnHH8qh2jFJnpU/
C-18, C-19;App Jogar Estudar Sem Bug;https://studio.code.org/projects/applab/gGSBiSJj2rpv6rmDlQ50qToH8VIh4jXSapDPqAyDgjs/
C-18, C-19;App Jogar Estudar Sem Bug Boolean;https://studio.code.org/projects/applab/gvD3wlk1PlbTgtYyiszVggYPnxXhqrnUzwp5sk5adBM/
C-18, C-19;Template App Jogar Estudar;https://studio.code.org/projects/applab/aLPV83fcHtiu7qck5LAesRXv6x0WQu2XFicUna-Ybq0/
C-20;Arte Floral;https://studio.code.org/projects/applab/empSbLlg0Au2dkTnVHNIET_uO8ChHVEqL2pvdl6h0Os/
C-20;Template Arte Floral;https://studio.code.org/projects/applab/X70moEcY_0NjYK-NXWIaECXFL0lmUM0qBlLpFTxNKJc/
C-21;App Formas Aleatórias;https://studio.code.org/projects/applab/PdXQMyEL7MmqG62R1V6_l5nTdjbE61nkioKA-NTomyY/
C-21;Template App Formas Aleatórias;https://studio.code.org/projects/applab/Cpf3eKkbz_bMbz8Zf1sYcZyc-kqfvLZO6g93nHNaozU/
C-26;Asteroide;https://studio.code.org/projects/gamelab/sprNChJh88HESMwJGDCuj3_rwxeGyQFsJsOB3uSUbpU/
C-26;Gire a Garrafa (Verão Antiga);https://studio.code.org/projects/applab/-E3cWRdLLDiu9B5ppgPL2xNtFY4GYB7q6mEF3ghxJ-s/
